Straight,EP,USP,Knot security,Diameter,Tie-down,Fast Avg,Fast Min,Moisture
,8.35,,7.25,0.489,,5.41,5.21,127
,8.09,,6.82,0.488,,5.48,5.32,
,8.17,,6.75,0.486,,5.74,5.52,
,8.42,,6.34,0.494,,6.46,6.20,
13.24,7.97,7.48,6.96,0.485,1.01,5.36,4.65,75
,8.44,,7.03,0.490,,5.50,4.84,130
,8.44,,6.88,0.494,,5.80,5.38,
,8.45,,6.99,0.485,,5.59,5.28,
13.67,8.51,7.34,7.08,0.496,0.80,6.28,6.01,95
,8.31,,7.80,0.494,,5.73,5.48,97
,8.35,,7.39,0.490,,6.01,5.69,
,8.28,,6.79,0.494,,5.51,5.06,
,8.22,,6.97,0.497,,6.03,5.95,
12.00,8.20,7.29,6.70,0.488,0.94,5.38,5.08,66
,8.23,,6.93,0.490,,6.06,5.81,224
,8.29,,6.58,0.489,,5.91,5.72,
,8.16,,6.62,0.493,,6.03,5.79,
,8.09,,7.08,0.497,,6.09,5.43,
13.13,8.55,7.26,6.58,0.490,1.01,5.86,5.44,161
,8.27,,6.93,0.495,,5.81,5.73,171
,8.21,,6.23,0.490,,5.59,5.29,
13.00,8.05,6.96,6.84,0.477,0.93,5.51,5.22,41
,8.08,,6.91,0.481,,5.44,4.84,51
,8.34,,7.14,0.480,,6.22,5.96,
,8.50,,6.27,0.493,,5.90,5.47,
13.32,8.45,6.99,6.76,0.497,1.22,5.64,5.21,37
,8.21,,6.52,0.491,,5.80,5.53,51
,8.04,,6.29,0.482,,5.71,5.16,
,8.39,,6.54,0.488,,5.45,5.17,
,8.50,,6.48,0.486,,5.65,5.24,
13.49,8.32,7.38,6.58,0.487,1.10,6.11,5.94,117
,8.44,,7.32,0.494,,5.59,5.22,131
,8.40,,6.64,0.483,,5.57,5.18,
,8.28,,6.55,0.488,,5.55,5.47,
,8.46,,7.06,0.485,,5.95,5.40,
13.52,8.45,7.10,6.54,0.485,0.97,5.72,5.52,61
,8.12,,6.63,0.486,,5.99,5.83,126
,8.26,,6.48,0.484,,5.61,5.40,
,8.22,,6.75,0.487,,5.38,4.75,
,8.21,,6.51,0.485,,5.37,5.11,
12.55,8.02,6.87,6.50,0.483,0.20,5.46,5.11,90
,8.21,,6.42,0.495,,5.80,5.72,113
,8.00,,6.99,0.490,,5.79,5.61,
,7.94,,6.94,0.486,,5.39,4.95,
,8.28,,6.83,0.481,,5.97,5.67,
13.13,8.38,7.31,6.78,0.496,0.67,5.46,5.14,77
,8.14,,6.49,0.492,,5.40,5.07,75
,8.28,,6.76,0.487,,5.83,5.47,
,8.27,,7.12,0.497,,5.87,5.66,
,7.81,,7.29,0.489,,5.69,5.29,
13.00,8.23,7.02,5.94,0.487,0.93,5.58,5.41,96
,8.40,,6.91,0.490,,5.48,5.41,81
,8.33,,7.32,0.484,,5.63,5.24,
,8.44,,6.73,0.495,,5.85,5.62,
13.07,8.46,6.98,6.63,0.486,0.83,5.89,5.63,89
,8.51,,6.75,0.490,,5.74,5.45,90
,8.20,,7.09,0.489,,5.77,5.50,
,8.56,,6.47,0.495,,5.93,5.82,
13.58,7.98,7.11,7.23,0.490,0.90,5.34,5.00,88
,8.19,,7.35,0.489,,5.86,5.61,96
,8.14,,6.92,0.492,,5.94,5.71,
13.30,8.53,7.16,6.51,0.491,0.74,5.92,5.70,60
,8.14,,7.19,0.494,,5.85,5.50,81
,8.20,,6.77,0.487,,5.68,5.37,
,8.14,,6.66,0.492,,5.88,5.48,
,8.57,,7.33,0.494,,6.37,6.11,
12.77,8.42,7.23,6.83,0.485,0.87,5.56,5.42,67
,7.83,,6.66,0.488,,5.62,5.37,79
,7.96,,6.20,0.499,,5.79,5.47,72
,7.94,,6.67,0.492,,5.71,5.47,
,8.05,,7.18,0.496,,5.87,5.57,
13.17,8.06,7.29,6.73,0.494,0.92,5.98,5.68,64
,8.01,,7.05,0.489,,5.85,5.63,67
,8.16,,6.67,0.494,,5.99,5.68,65
,8.11,,6.88,0.488,,5.88,5.33,
,8.17,,6.67,0.491,,5.81,5.53,
13.15,8.20,7.39,7.22,0.492,0.95,6.08,5.86,101
,8.46,,6.86,0.486,,5.79,5.48,117
,8.16,,6.23,0.487,,5.85,5.68,138
,8.05,,7.17,0.486,,6.20,6.00,
,8.11,,7.05,0.485,,5.80,5.52,
,8.23,,6.99,0.487,,5.58,5.30,
12.43,7.92,7.36,7.00,0.496,0.86,6.23,5.84,88
,7.99,,6.89,0.496,,6.18,6.01,42
,8.03,,6.66,0.482,,6.03,5.45,
,8.09,,7.15,0.497,,5.77,5.54,
,7.97,,6.69,0.493,,5.50,5.03,
,7.62,,6.83,0.490,,6.10,5.86,
13.01,7.83,6.97,6.66,0.480,0.86,5.87,5.77,97
,8.04,,6.66,0.489,,5.89,5.69,
,8.20,,6.93,0.490,,6.03,5.80,
,7.94,,7.14,0.492,,5.42,5.22,
,7.94,,6.64,0.487,,6.09,5.95,
12.98,8.45,7.43,6.94,0.474,0.87,5.63,5.37,61
,8.41,,7.37,0.489,,5.57,5.40,94
,8.20,,7.24,0.492,,5.64,5.45,
,8.10,,6.80,0.478,,5.60,5.07,
,8.26,,6.71,0.493,,5.92,5.72,
13.55,8.07,7.57,6.75,0.472,1.15,5.85,5.55,75
,8.25,,7.01,0.492,,5.80,5.55,43
,8.34,,6.61,0.496,,5.87,5.57,
,8.05,,5.73,0.486,,5.44,5.17,
,8.05,,6.89,0.492,,5.95,5.77,
13.46,8.20,6.87,6.03,0.494,1.02,5.88,5.28,63
,8.20,,6.67,0.495,,5.72,5.61,42
,8.30,,6.44,0.493,,5.52,5.36,
,8.44,,6.45,0.494,,5.62,5.24,
,8.24,,6.98,0.489,,5.94,5.76,
13.96,8.16,7.44,6.50,0.486,0.88,6.06,5.80,84
,8.11,,6.79,0.490,,5.75,5.55,86
,7.94,,6.27,0.488,,5.83,5.66,
,8.05,,6.79,0.486,,6.10,6.01,
,8.10,,6.56,0.482,,5.58,5.17,
13.31,8.07,7.14,7.02,0.490,0.95,5.84,5.69,80
,8.15,,6.74,0.484,,5.85,5.66,47
,8.03,,6.99,0.481,,6.13,5.91,40
,7.95,,6.40,0.487,,5.77,5.74,
,8.09,,6.50,0.490,,5.86,5.34,
12.92,8.11,7.16,6.61,0.488,1.08,5.73,5.55,97
,8.14,,6.48,0.488,,5.29,4.87,58
,7.93,,6.81,0.486,,5.80,5.54,
,7.88,,6.78,0.483,,5.92,5.64,
,7.84,,6.68,0.491,,5.89,5.83,
13.11,7.98,7.23,6.77,0.491,0.97,5.51,5.15,83
,8.00,,6.35,0.483,,5.58,5.28,39
,8.32,,6.96,0.492,,5.89,5.58,53
,8.29,,6.31,0.495,,5.97,5.83,
,8.20,,7.07,0.491,,5.49,5.29,
13.35,8.28,7.01,6.43,0.495,0.94,5.89,5.60,37
,8.24,,6.80,0.488,,6.34,6.02,36
,8.34,,7.05,0.485,,6.05,5.88,
,8.38,,6.83,0.484,,6.28,6.00,
,8.15,,7.11,0.478,,5.48,5.13,
13.02,8.09,7.38,6.74,0.487,0.98,6.13,5.81,120
,8.20,,7.11,0.492,,5.44,5.10,101
,8.13,,6.73,0.483,,5.81,5.44,
,7.99,,6.81,0.487,,5.49,5.28,
,8.18,,6.59,0.488,,5.74,5.55,
12.72,7.91,6.98,6.71,0.489,0.97,5.79,5.57,109
,8.33,,6.31,0.490,,5.98,5.78,116
,8.23,,6.68,0.489,,5.68,5.47,
,8.31,,6.68,0.495,,5.73,5.59,
,8.22,,7.10,0.498,,5.34,4.65,
13.11,8.10,7.26,6.49,0.486,0.80,5.62,5.49,30
,7.88,,7.16,0.485,,5.34,4.87,38
,8.02,,6.85,0.487,,5.40,5.32,
,7.73,,5.91,0.488,,5.14,4.53,
,8.00,,7.03,0.483,,5.87,5.73,
13.31,8.13,7.17,6.95,0.483,1.16,5.68,5.42,71
,7.84,,5.63,0.494,,5.48,5.26,99
,7.89,,6.69,0.491,,5.30,5.14,
,8.14,,6.94,0.485,,5.53,5.36,
,8.16,,6.67,0.490,,5.78,5.61,
13.55,8.36,7.52,7.05,0.492,1.16,5.76,5.46,88
,8.37,,7.00,0.491,,5.52,4.90,111
,8.47,,6.99,0.493,,6.00,5.66,103
,8.12,,6.76,0.486,,5.39,4.95,
,8.16,,6.80,0.486,,5.61,5.49,
13.31,7.88,7.55,6.40,0.490,0.79,5.97,5.83,32
,7.78,,6.35,0.495,,5.64,5.21,68
,7.97,,6.40,0.489,,5.72,5.44,102
,8.03,,6.32,0.494,,5.92,5.64,
,8.21,,6.81,0.491,,6.25,5.98,
12.99,8.53,7.25,6.23,0.488,0.81,5.96,5.78,150
,7.56,,6.83,0.491,,6.14,5.95,
,8.40,,6.84,0.493,,6.11,5.94,
,8.35,,6.48,0.492,,5.61,5.40,
,8.04,,6.71,0.488,,6.14,5.87,
13.58,8.16,7.01,6.82,0.493,0.71,6.01,5.76,82
,8.46,,6.30,0.483,,5.92,5.57,75
,8.14,,7.07,0.490,,5.59,5.10,110
,7.96,,6.84,0.495,,5.66,5.36,110
,8.10,,6.68,0.488,,5.73,5.71,
,8.15,,6.89,0.494,,5.85,5.40,
13.17,8.28,6.97,6.73,0.494,1.25,5.45,5.27,141
,8.43,,7.25,0.492,,6.06,5.73,69
,8.39,,7.44,0.492,,5.85,5.68,
,8.16,,6.77,0.491,,5.39,5.20,
,8.34,,6.83,0.495,,5.77,5.45,
12.99,7.89,6.90,6.16,0.493,0.99,5.40,4.87,101
,8.05,,6.62,0.497,,5.75,5.54,136
,8.11,,6.32,0.491,,5.63,5.11,124
,8.54,,6.50,0.493,,5.69,5.42,
,8.26,,6.45,0.493,,5.80,5.63,
12.83,7.81,7.26,6.40,0.490,0.92,5.08,4.53,119
,8.09,,6.62,0.491,,5.74,5.50,149
,8.03,,6.42,0.494,,5.83,5.56,59
,8.12,,6.49,0.497,,5.97,5.90,
,8.07,,6.42,0.489,,5.69,5.41,
,8.10,,6.56,0.490,,6.21,5.95,
12.53,8.31,7.38,6.61,0.494,0.99,6.36,6.12,58
,8.31,,7.18,0.487,,5.48,4.74,86
,8.50,,7.05,0.498,,5.56,5.19,86
,8.53,,6.95,0.488,,5.79,5.64,
,8.42,,6.56,0.494,,6.28,6.10,
13.05,8.37,7.40,6.04,0.496,0.83,5.94,5.76,31
,7.92,,6.44,0.489,,6.22,6.00,40
,8.27,,6.65,0.492,,5.92,5.48,56
,8.36,,6.75,0.493,,5.92,5.48,
,8.15,,7.04,0.485,,5.98,5.89,
13.99,8.17,7.31,6.55,0.489,0.81,6.22,6.00,56
,8.05,,6.67,0.490,,5.65,5.48,53
,7.95,,6.73,0.484,,5.91,5.71,
,8.14,,7.30,0.494,,5.87,5.66,
,8.43,,7.18,0.490,,5.44,5.26,
13.74,8.07,7.29,6.92,0.487,0.94,5.75,5.48,88
,8.24,,7.09,0.482,,5.60,5.40,20
,8.11,,6.77,0.489,,5.86,5.67,
,8.15,,6.86,0.483,,5.67,5.37,
,8.08,,6.73,0.485,,5.42,5.20,
13.45,8.06,7.23,6.86,0.480,1.14,5.65,5.51,37
,8.23,,6.94,0.487,,5.68,5.48,50
,8.39,,7.23,0.494,,6.11,6.05,
,8.20,,7.35,0.478,,5.61,5.40,
,8.23,,7.21,0.470,,5.90,5.47,
12.71,8.12,6.84,6.65,0.479,1.15,5.59,5.22,78
,8.34,,7.00,0.479,,5.61,5.40,76
,8.12,,7.29,0.490,,5.79,5.61,83
,8.40,,6.91,0.467,,5.58,5.41,
,8.21,,7.26,0.486,,5.34,5.00,
13.06,8.06,7.10,6.98,0.485,0.99,6.33,6.01,20
,8.11,,6.94,0.487,,6.31,6.15,20
,8.23,,6.41,0.478,,5.81,5.44,27
,8.15,,6.38,0.488,,5.87,5.73,
,8.04,,7.07,0.482,,5.83,5.56,
13.62,8.50,7.24,6.73,0.490,0.92,5.98,5.89,68
,7.90,,6.45,0.490,,5.23,4.65,27
,7.97,,6.43,0.482,,5.92,5.67,
,8.42,,6.34,0.481,,6.52,6.22,
,8.27,,7.00,0.492,,5.64,5.08,
13.30,8.20,7.39,7.12,0.487,1.00,5.42,5.15,44
,8.18,,7.09,0.483,,5.92,5.48,24
,8.15,,6.85,0.478,,5.68,5.48,35
,8.30,,6.59,0.474,,5.86,5.69,
,8.49,,7.15,0.477,,5.75,5.53,
,8.26,,7.08,0.476,,5.67,5.37,
13.45,8.35,7.18,7.32,0.483,1.04,6.06,5.69,31
,8.39,,7.37,0.482,,5.93,5.68,30
,8.27,,7.39,0.486,,5.43,4.71,
,8.33,,7.21,0.485,,5.54,5.36,
,8.47,,6.61,0.473,,5.56,5.43,
13.36,8.27,7.49,6.28,0.481,1.03,6.01,5.74,25
,8.14,,7.48,0.481,,6.20,5.98,41
,8.31,,7.23,0.477,,6.12,5.90,20
,8.20,,6.85,0.482,,5.38,5.21,
,8.04,,7.33,0.483,,5.82,5.39,
,8.29,,6.70,0.477,,5.62,5.33,
13.41,8.11,7.05,6.82,0.473,0.99,6.31,6.15,98
,7.99,,6.46,0.490,,5.89,5.67,27
,8.09,,6.08,0.484,,6.03,5.72,
,8.09,,7.01,0.480,,5.93,5.66,
13.74,8.36,6.86,7.16,0.484,1.04,6.01,5.61,39
,8.19,,6.64,0.482,,5.77,5.32,66
,8.10,,7.10,0.486,,6.29,6.03,39
,8.16,,7.12,0.490,,6.13,5.89,
,8.15,,7.09,0.489,,5.77,5.46,
,8.23,,6.69,0.474,,5.62,5.33,
,8.25,,7.46,0.491,,6.26,6.07,
11.78,8.21,7.51,6.99,0.497,0.96,6.19,5.86,34
,8.49,,7.25,0.490,,5.96,5.71,27
,7.98,,7.17,0.492,,5.29,4.71,29
,7.76,,7.23,0.490,,5.99,5.69,
,8.49,,6.67,0.492,,6.22,6.09,
,8.22,,6.48,0.489,,5.85,5.59,
,8.16,,7.02,0.491,,5.43,4.71,
12.28,8.12,6.37,6.92,0.490,1.35,5.90,5.66,52
,8.09,,6.72,0.487,,6.02,5.71,38
,7.98,,6.92,0.486,,5.88,5.66,57
,8.17,,7.23,0.497,,6.17,5.49,
,8.16,,7.13,0.497,,6.00,5.47,
12.45,8.24,6.59,7.34,0.489,0.94,5.85,5.66,42
,8.22,,7.19,0.498,,6.00,5.77,53
,7.90,,6.64,0.493,,5.49,4.74,115
,7.89,,6.42,0.485,,5.73,5.50,
,7.87,,5.72,0.485,,5.80,5.64,
,7.72,,6.14,0.484,,5.83,5.57,
,8.05,,6.32,0.492,,6.51,6.36,
12.47,8.09,7.49,6.76,0.484,0.57,5.58,5.21,43
,8.20,,6.06,0.485,,6.02,5.71,
12.74,7.73,6.74,6.63,0.490,0.68,5.19,4.84,64
,8.02,,7.42,0.485,,5.73,5.10,87
,8.24,,6.19,0.489,,6.32,5.94,48
,8.15,,6.56,0.486,,5.52,4.84,
,7.70,,6.67,0.494,,5.57,5.08,
12.96,7.96,6.98,6.42,0.479,1.11,6.06,5.91,46
,7.98,,6.72,0.489,,5.91,5.68,57
,7.93,,6.55,0.488,,6.06,5.76,
,7.90,,6.82,0.495,,5.92,5.44,
,8.34,,6.47,0.496,,6.10,5.90,
,8.20,,6.15,0.491,,6.19,5.63,
12.68,7.86,6.52,6.10,0.483,0.73,5.96,5.62,41
,7.95,,7.04,0.483,,5.94,5.58,54
,8.06,,7.16,0.488,,6.18,5.98,48
,8.07,,6.64,0.487,,5.44,4.80,
,7.94,,6.58,0.494,,5.32,4.51,
,7.79,,7.16,0.491,,,,
13.62,8.20,7.35,6.62,0.487,0.72,6.38,6.20,52
,8.46,,7.22,0.489,,6.28,6.01,146
,8.22,,6.92,0.489,,6.22,6.12,
,8.29,,6.84,0.486,,6.34,5.81,
,8.73,,6.88,0.491,,5.95,5.82,
13.59,8.06,6.46,6.68,0.490,1.08,5.51,5.70,198
,7.89,,7.35,0.491,,5.64,5.20,163
,7.92,,6.93,0.483,,5.68,5.43,144
,8.36,,6.93,0.485,,5.58,5.13,
,8.19,,6.91,0.486,,5.49,5.36,
,8.10,,6.37,0.493,,5.80,5.53,
13.76,7.87,7.78,7.26,0.490,1.00,5.37,4.93,100
,7.85,,6.51,0.495,,5.41,4.89,211
,7.70,,6.84,0.491,,5.52,5.13,
,7.91,,7.12,0.495,,5.86,5.27,
12.50,7.80,7.25,6.65,0.492,0.88,5.68,5.24,103
,8.14,,7.57,0.489,,6.36,6.02,78
,8.26,,6.59,0.482,,6.23,6.15,67
,8.08,,6.80,0.493,,5.85,5.79,166
,8.32,,7.58,0.495,,5.79,5.29,139
,8.30,,7.24,0.489,,5.71,5.54,
,8.05,,7.08,0.489,,5.78,5.46,
12.45,8.23,7.01,7.36,0.491,0.86,5.75,5.64,80
,7.93,,6.53,0.490,,6.11,5.85,100
,7.66,,7.19,0.490,,5.76,5.57,99
,8.00,,6.68,0.495,,6.12,5.95,85
,8.08,,6.35,0.494,,5.79,5.61,78
,8.31,,7.01,0.494,,5.98,5.74,
13.05,8.03,7.58,6.90,0.495,1.05,5.34,4.63,115
,8.12,,7.04,0.495,,6.21,5.81,92
,7.89,,6.80,0.491,,5.51,5.18,67
,8.15,,6.94,0.489,,5.77,5.56,
,8.08,,6.48,0.494,,5.23,4.81,
,8.04,,6.68,0.493,,5.78,5.51,
13.37,7.82,7.51,6.54,0.495,1.12,5.96,5.74,174
,7.94,,6.20,0.488,,5.42,4.70,216
,7.92,,7.22,0.492,,6.01,5.63,184
,7.87,,7.46,0.496,,5.26,4.78,
,7.85,,5.97,0.490,,5.79,5.42,
,7.87,,6.94,0.498,,5.80,5.26,
,7.62,,6.80,0.496,,6.00,5.88,
12.73,8.27,7.17,6.60,0.488,1.19,5.58,5.23,62
,7.80,,6.73,0.491,,5.88,5.57,71
,8.25,,7.39,0.494,,6.22,6.07,52
,8.25,,7.11,0.499,,5.38,4.86,36
,7.97,,7.01,0.495,,6.16,5.84,53
,7.92,,7.09,0.488,,6.10,5.62,
13.31,7.99,6.40,7.50,0.488,1.08,6.06,5.97,166
,8.34,,6.85,0.493,,6.01,5.78,92
,7.98,,7.08,0.491,,6.12,5.74,64
,8.32,,7.32,0.494,,5.95,5.78,
,7.52,,6.99,0.484,,5.19,4.53,
,7.98,,6.82,0.488,,5.69,5.34,
11.87,8.05,7.02,6.87,0.490,0.74,6.01,5.57,63
,8.25,,7.03,0.490,,5.94,5.62,222
,8.26,,6.81,0.487,,5.56,4.44,36
,8.48,,7.01,0.490,,6.18,5.68,
,8.28,,6.98,0.496,,6.03,5.58,
12.79,7.72,6.84,7.03,0.496,0.83,5.27,4.53,116
,7.71,,6.44,0.494,,5.92,5.48,77
,7.92,,6.44,0.497,,5.75,5.69,96
,7.88,,6.56,0.494,,5.53,5.26,
,7.95,,7.25,0.498,,6.35,6.06,
,7.91,,5.96,0.489,,5.97,5.50,
13.19,7.40,6.43,6.06,0.489,1.10,5.82,5.66,147
,7.96,,7.20,0.489,,5.72,5.54,180
,8.16,,5.57,0.480,,5.85,5.65,73
,8.14,,6.50,0.485,,5.54,5.15,
,8.15,,6.56,0.482,,5.53,5.18,
13.09,7.82,7.31,7.00,0.497,1.20,5.66,5.41,171
,7.93,,6.12,0.489,,5.61,5.47,184
,7.82,,5.47,0.487,,6.25,6.05,207
,8.04,,6.62,0.489,,5.52,5.37,
,8.23,,5.97,0.491,,5.51,5.35,
,8.18,,6.49,0.483,,6.25,6.05,
,8.19,,6.18,0.486,,6.22,5.95,
12.89,7.88,6.60,6.62,0.487,1.05,5.25,4.53,107
,8.25,,6.04,0.494,,5.54,5.37,142
,8.15,,6.25,0.494,,5.37,5.11,83
,8.35,,6.85,0.491,,6.23,5.85,
,8.00,,6.70,0.487,,5.72,5.46,
,8.08,,6.52,0.493,,5.68,5.30,
,7.96,,6.45,0.488,,5.69,5.38,
12.73,8.00,7.17,6.70,0.495,1.11,5.62,5.48,159
,7.75,,6.44,0.491,,5.94,5.65,88
,8.09,,6.28,0.488,,5.64,5.34,61
,7.78,,6.55,0.484,,5.66,5.42,
,7.68,,6.87,0.489,,5.30,4.97,
,8.20,,6.19,0.489,,5.70,5.51,
12.78,8.00,6.86,7.22,0.487,1.18,5.78,5.58,187
,8.18,,7.23,0.492,,5.41,5.17,258
,7.94,,6.74,0.490,,5.86,5.56,220
,7.80,,6.20,0.489,,5.12,4.78,
,7.84,,6.48,0.493,,5.12,4.80,
,7.84,,6.18,0.493,,5.11,4.69,
12.44,8.09,7.21,7.13,0.490,0.95,5.24,4.80,90
,8.10,,6.56,0.483,,5.46,4.34,79
,7.64,,6.80,0.494,,5.25,4.43,124
,7.88,,6.64,0.495,,5.90,5.69,
,8.13,,7.11,0.494,,5.85,5.65,
,8.16,,6.60,0.494,,6.09,5.60,
13.05,8.07,7.58,7.09,0.489,0.75,6.10,6.01,92
,7.81,,6.77,0.480,,5.91,5.60,226
,7.90,,6.68,0.484,,6.18,5.99,200
,8.09,,6.95,0.491,,5.42,5.25,
,7.95,,5.71,0.486,,5.72,5.44,
,8.08,,6.26,0.489,,5.67,5.27,
13.05,8.08,7.14,6.69,0.482,0.92,5.72,5.64,158
,8.14,,6.52,0.485,,5.48,5.32,141
,8.17,,6.93,0.489,,5.48,5.18,150
,8.02,,6.73,0.480,,5.82,5.53,
,7.86,,6.98,0.490,,5.75,5.54,
,7.85,,6.74,0.485,,5.70,5.55,
,7.93,,7.11,0.491,,5.46,5.22,
12.97,7.85,7.45,6.89,0.478,0.82,5.69,5.48,225
,7.87,,6.35,0.485,,5.98,5.49,225
,8.07,,6.70,0.483,,5.78,5.57,194
,8.08,,5.85,0.486,,5.22,4.80,
,8.02,,6.83,0.483,,6.13,5.76,
,7.99,,6.68,0.483,,5.99,5.72,
,8.03,,6.72,0.486,,6.11,5.89,
11.89,8.11,6.97,6.63,0.492,0.84,6.13,6.00,149
,8.33,,7.26,0.490,,6.27,6.14,129
,7.99,,6.75,0.480,,5.41,5.15,114
,8.24,,6.88,0.485,,5.78,5.44,
,8.12,,6.24,0.486,,5.40,4.85,
,7.73,,6.95,0.486,,6.10,5.65,
12.23,7.32,7.11,6.31,0.479,0.68,6.23,6.01,204
,7.43,,6.46,0.480,,5.76,5.59,79
,7.72,,6.67,0.485,,5.49,5.12,84
,7.04,,6.20,0.472,,5.39,4.99,
,7.47,,6.58,0.478,,5.86,5.56,
12.96,7.25,7.01,6.36,0.480,0.47,5.83,5.66,117
,7.36,,6.55,0.481,,5.68,5.47,122
,7.35,,6.21,0.490,,5.36,5.20,110
,7.26,,6.64,0.494,,5.66,5.48,34
,7.42,,6.21,0.483,,5.65,5.51,55
,7.41,,6.46,0.482,,5.42,5.20,
13.20,7.37,6.82,6.89,0.489,0.68,5.31,5.00,58
,7.55,,6.38,0.493,,5.68,5.50,99
,7.37,,6.85,0.494,,5.53,5.25,
,7.46,,6.29,0.489,,5.72,5.53,
,7.42,,7.08,0.494,,5.64,5.46,
,7.32,,6.08,0.493,,4.97,4.60,
13.19,7.33,6.98,5.48,0.488,1.15,5.79,5.59,144
,7.34,,6.66,0.491,,5.65,5.45,115
,7.33,,6.34,0.491,,4.92,4.44,209
,7.07,,6.12,0.480,,5.47,5.21,216
13.47,7.71,6.89,6.33,0.489,0.80,5.19,5.04,242
,7.31,,6.10,0.483,,5.45,5.24,132
,7.55,,6.51,0.488,,5.76,5.68,102
,8.30,,6.75,0.491,,6.08,5.87,
,8.02,,5.59,0.491,,5.50,4.49,
12.77,8.06,7.11,5.88,0.490,0.99,5.94,5.71,190
,8.23,,6.85,0.493,,5.91,5.72,94
,8.05,,6.31,0.499,,5.40,4.47,121
,8.07,,6.69,0.498,,5.98,5.79,
,8.13,,6.75,0.499,,5.91,5.66,
,8.12,,7.02,0.478,,6.29,6.10,
13.46,8.20,7.24,7.06,0.492,1.03,5.87,5.62,86
,7.96,,6.27,0.489,,5.68,5.50,67
,8.23,,6.63,0.499,,5.88,5.55,237
,8.08,,6.75,0.498,,5.68,5.43,
,8.23,,6.42,0.493,,5.46,4.67,
,8.09,,6.79,0.490,,5.55,5.47,
13.44,8.16,7.86,6.25,0.493,0.78,5.50,5.31,147
,7.72,,6.65,0.491,,5.83,5.66,107
,8.08,,6.02,0.496,,5.68,5.35,222
,7.69,,6.85,0.489,,5.78,5.40,138
,7.75,,6.41,0.486,,6.17,6.06,
12.72,7.96,6.99,7.96,0.495,0.75,5.79,5.35,71
,7.96,,6.64,0.491,,5.95,5.66,64
,8.08,,6.95,0.492,,6.28,6.04,
,7.85,,7.11,0.494,,5.46,5.04,
,8.06,,6.64,0.497,,6.32,6.24,
12.99,7.73,7.50,6.81,0.487,1.17,6.03,5.93,134
,8.56,,6.39,0.490,,5.87,5.64,117
,8.27,,6.60,0.494,,5.69,5.22,141
,8.15,,6.78,0.488,,6.18,5.73,56
,8.05,,6.80,0.498,,5.45,4.37,142
12.84,8.27,7.67,6.74,0.492,0.72,5.94,5.34,131
,8.17,,6.62,0.485,,5.98,5.73,109
,8.12,,6.98,0.493,,5.97,5.84,184
,8.32,,6.79,0.491,,6.17,5.72,
,8.32,,6.94,0.490,,7.12,5.96,
,8.07,,6.69,0.489,,5.32,4.49,
,8.08,,6.80,0.477,,5.83,5.59,
13.77,8.02,7.66,6.95,0.494,0.83,6.05,5.95,58
,8.32,,7.10,0.497,,6.01,5.65,156
,7.91,,7.16,0.491,,5.22,4.40,125
,7.90,,6.65,0.494,,5.80,5.49,
,8.24,,7.27,0.494,,6.07,5.63,
,7.92,,6.76,0.490,,5.53,4.37,
,8.11,,7.23,0.496,,6.22,5.99,
14.23,8.78,7.70,7.71,0.490,1.38,6.37,5.96,52
,8.42,,7.10,0.489,,6.21,5.90,68
,8.38,,7.34,0.489,,5.75,4.87,
,8.14,,7.09,0.490,,6.30,6.13,
,8.48,,7.10,0.488,,6.11,5.82,
,8.61,,7.18,0.497,,6.09,5.89,
12.80,8.00,7.30,6.34,0.488,1.15,5.33,4.30,128
,7.94,,6.59,0.487,,5.93,5.58,167
,8.03,,6.63,0.484,,5.49,5.06,71
,7.92,,5.32,0.489,,6.07,5.80,
,7.87,,6.79,0.484,,5.93,5.71,
,8.20,,6.89,0.490,,5.61,5.13,
12.54,7.82,7.02,7.01,0.482,0.89,5.42,4.67,106
,7.66,,7.02,0.489,,5.63,5.40,109
,8.01,,6.57,0.492,,5.83,5.66,81
,7.99,,6.98,0.487,,5.89,5.73,193
,7.98,,6.67,0.488,,5.81,5.39,
11.13,8.66,7.88,6.44,0.494,0.91,6.70,6.61,61
,8.52,,6.99,0.478,,6.87,6.49,
,8.39,,6.44,0.489,,6.84,6.46,
12.94,7.89,7.40,6.26,0.488,0.77,5.80,5.56,200
,7.72,,6.49,0.491,,5.57,4.73,91
,7.95,,6.43,0.486,,5.62,5.43,54
,7.80,,6.12,0.480,,5.76,5.57,
,7.98,,6.58,0.481,,5.69,5.43,
,7.74,,6.42,0.487,,5.88,5.65,
,8.10,,7.09,0.484,,5.83,5.49,
13.04,8.13,7.65,6.92,0.488,0.88,5.61,5.39,202
,8.60,,7.06,0.487,,5.67,4.97,191
,8.17,,7.19,0.492,,5.76,5.12,229
,8.37,,6.89,0.498,,5.89,5.50,
,8.25,,6.69,0.483,,5.54,4.85,
,8.28,,6.94,0.492,,5.86,5.61,
13.76,8.03,7.46,7.29,0.487,0.69,5.48,5.07,210
,8.28,,7.26,0.485,,6.06,5.88,
13.18,8.11,7.57,6.76,0.492,1.37,5.37,4.72,178
,7.95,,6.98,0.490,,5.78,5.56,143
,8.15,,5.95,0.485,,5.96,5.73,202
,8.13,,6.24,0.490,,5.68,5.47,188
,7.97,,6.39,0.484,,5.42,5.07,262
,7.82,,6.79,0.489,,5.67,5.22,
13.01,8.02,7.80,6.64,0.491,0.95,5.83,5.62,98
,7.94,,6.59,0.491,,5.94,5.20,87
